City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,upernavik,72.79,-56.15,42.12,70,74,9.35,GL,1594100634
119,ribeira grande,38.52,-28.7,68.02,88,7,10.36,PT,1594100634
120,port alfred,-33.59,26.89,63.0,77,47,11.01,ZA,1594100634
121,lorengau,-2.02,147.27,84.0,77,38,11.25,PG,1594100634
122,camacupa,-12.02,17.48,44.98,57,83,4.68,AO,1594100635
123,vaini,-21.2,-175.2,77.0,88,75,9.17,TO,1594100635
124,ostrovnoy,68.05,39.51,60.46,64,32,26.75,RU,1594100635
125,kattivakkam,13.22,80.32,93.2,49,40,11.41,IN,1594100635
126,salalah,17.02,54.09,82.4,83,90,3.36,OM,1594100635
127,tuatapere,-46.13,167.68,39.0,83,100,3.0,NZ,1594100635
128,bethel,41.37,-73.41,66.99,93,75,5.03,US,1594100635
129,nome,64.5,-165.41,48.2,87,90,11.41,US,1594100429
130,kodiak,57.79,-152.41,53.6,93,90,5.91,US,1594100635
131,kijang,35.24,129.21,80.6,69,75,16.11,KR,1594100635
132,kurumkan,54.3,110.3,81.64,39,98,1.57,RU,1594100635
133,ambulu,-8.35,113.61,84.52,65,45,9.53,ID,1594100635
134,marang,5.21,103.21,89.6,66,40,6.93,MY,1594100635
135,qaqortoq,60.72,-46.03,44.6,75,91,2.24,GL,1594100635
136,port elizabeth,-33.92,25.57,60.8,77,40,32.21,ZA,1594100635
137,puerto baquerizo moreno,-0.9,-89.6,67.33,92,70,10.98,EC,1594100635
138,madang,-5.22,145.8,84.85,68,75,6.67,PG,1594100635
139,fomboni,-12.28,43.74,78.89,76,1,17.74,KM,1594100635
140,hilo,19.73,-155.09,80.6,65,90,4.7,US,1594100379
141,dingzhou,38.51,115.0,89.6,52,75,4.47,CN,1594100636
142,meadow lake,34.8,-106.54,80.6,28,40,18.34,US,1594100636
143,filadelfia,39.95,-75.16,71.6,83,40,6.93,US,1594100421
144,igrim,63.19,64.42,81.99,40,70,5.3,RU,1594100636
145,novoilinsk,51.68,108.71,91.56,17,17,6.76,RU,1594100636
146,bara,10.37,10.73,74.59,85,43,6.8,NG,1594100636
